time,frame,id,x,y
1513604454715,0,0,2505.0,3395.0
1513604454715,0,1,1140.0,3385.0
1513604454715,0,2,1735.0,3430.0
1513604454715,0,3,1800.0,3315.0
1513604454715,0,4,565.0,3285.0
1513604454715,0,5,1670.0,3340.0
1513604454715,0,6,740.0,3255.0
1513604454715,0,7,1340.0,3290.0
1513604454715,0,8,960.0,3355.0
1513604454715,0,9,2230.0,3550.0
1513604454715,0,10,2065.0,3155.0
1513604454715,1,0,2500.0,3395.0
1513604454715,1,1,1140.0,3385.0
1513604454715,1,2,1730.0,3430.0
1513604454715,1,3,1800.0,3315.0
1513604454715,1,4,570.0,3285.0
1513604454715,1,5,1670.0,3340.0
1513604454715,1,6,745.0,3255.0
1513604454715,1,7,1340.0,3290.0
1513604454715,1,8,960.0,3350.0
1513604454715,1,9,2230.0,3555.0
1513604454715,1,10,2065.0,3155.0
1513604454715,2,0,2495.0,3400.0
1513604454715,2,1,1140.0,3385.0
1513604454715,2,2,1730.0,3430.0
1513604454715,2,3,1800.0,3315.0
1513604454715,2,4,575.0,3285.0
1513604454715,2,5,1670.0,3340.0
1513604454715,2,6,745.0,3255.0
1513604454715,2,7,1340.0,3290.0
1513604454715,2,8,960.0,3350.0
1513604454715,2,9,2225.0,3560.0
1513604454715,2,10,2065.0,3155.0
1513604454715,3,0,2490.0,3400.0
1513604454715,3,1,1135.0,3385.0
1513604454715,3,2,1730.0,3430.0
1513604454715,3,3,1800.0,3320.0
1513604454715,3,4,580.0,3285.0
1513604454715,3,5,1670.0,3340.0
1513604454715,3,6,745.0,3260.0
1513604454715,3,7,1345.0,3290.0
1513604454715,3,8,960.0,3345.0
1513604454715,3,9,2225.0,3565.0
1513604454715,3,10,2060.0,3155.0
1513604454715,4,0,2485.0,3405.0
1513604454715,4,1,1135.0,3385.0
1513604454715,4,2,1730.0,3430.0
1513604454715,4,3,1800.0,3320.0
1513604454715,4,4,580.0,3285.0
1513604454715,4,5,1670.0,3340.0
1513604454715,4,6,750.0,3260.0
1513604454715,4,7,1345.0,3290.0
1513604454715,4,8,960.0,3340.0
1513604454715,4,9,2220.0,3565.0
1513604454715,4,10,2060.0,3155.0
1513604454715,5,0,2480.0,3405.0
1513604454715,5,1,1135.0,3385.0
1513604454715,5,2,1730.0,3425.0
1513604454715,5,3,1795.0,3320.0
1513604454715,5,4,585.0,3285.0
1513604454715,5,5,1670.0,3340.0
1513604454715,5,6,750.0,3260.0
1513604454715,5,7,1350.0,3290.0
1513604454715,5,8,960.0,3335.0
1513604454715,5,9,2220.0,3570.0
1513604454715,5,10,2060.0,3150.0
1513604454715,6,0,2475.0,3410.0
1513604454715,6,1,1135.0,3385.0
1513604454715,6,2,1730.0,3425.0
1513604454715,6,3,1795.0,3320.0
1513604454715,6,4,585.0,3280.0
1513604454715,6,5,1670.0,3340.0
1513604454715,6,6,750.0,3260.0
1513604454715,6,7,1350.0,3290.0
1513604454715,6,8,960.0,3330.0
1513604454715,6,9,2220.0,3575.0
1513604454715,6,10,2060.0,3150.0
1513604454715,7,0,2475.0,3410.0
1513604454715,7,1,1135.0,3390.0
1513604454715,7,2,1730.0,3425.0
1513604454715,7,3,1795.0,3320.0
1513604454715,7,4,590.0,3280.0
1513604454715,7,5,1670.0,3345.0
1513604454715,7,6,750.0,3260.0
1513604454715,7,7,1350.0,3290.0
1513604454715,7,8,960.0,3325.0
1513604454715,7,9,2215.0,3580.0
1513604454715,7,10,2060.0,3150.0
1513604454715,8,0,2470.0,3415.0
1513604454715,8,1,1140.0,3390.0
1513604454715,8,2,1730.0,3425.0
1513604454715,8,3,1795.0,3325.0
1513604454715,8,4,590.0,3280.0
1513604454715,8,5,1670.0,3345.0
1513604454715,8,6,755.0,3260.0
1513604454715,8,7,1355.0,3290.0
1513604454715,8,8,965.0,3325.0
1513604454715,8,9,2210.0,3580.0
1513604454715,8,10,2065.0,3150.0
1513604454715,9,0,2465.0,3415.0
1513604454715,9,1,1140.0,3390.0
1513604454715,9,2,1725.0,3425.0
1513604454715,9,3,1795.0,3325.0
1513604454715,9,4,595.0,3280.0
1513604454715,9,5,1670.0,3345.0
1513604454715,9,6,755.0,3265.0
1513604454715,9,7,1355.0,3290.0
1513604454715,9,8,965.0,3320.0
1513604454715,9,9,2205.0,3585.0
1513604454715,9,10,2060.0,3155.0
1513604454715,10,0,2460.0,3420.0
1513604454715,10,1,1140.0,3390.0
1513604454715,10,2,1725.0,3425.0
1513604454715,10,3,1790.0,3325.0
1513604454715,10,4,595.0,3280.0
1513604454715,10,5,1670.0,3345.0
1513604454715,10,6,755.0,3265.0
1513604454715,10,7,1360.0,3290.0
1513604454715,10,8,965.0,3315.0
1513604454715,10,9,2200.0,3585.0
1513604454715,10,10,2060.0,3155.0
1513604454715,11,0,2455.0,3425.0
1513604454715,11,1,1145.0,3390.0
1513604454715,11,2,1725.0,3420.0
1513604454715,11,3,1790.0,3325.0
1513604454715,11,4,600.0,3280.0
1513604454715,11,5,1670.0,3345.0
1513604454715,11,6,755.0,3265.0
1513604454715,11,7,1360.0,3290.0
1513604454715,11,8,970.0,3310.0
1513604454715,11,9,2200.0,3590.0
1513604454715,11,10,2060.0,3160.0
1513604454715,12,0,2455.0,3430.0
1513604454715,12,1,1145.0,3390.0
1513604454715,12,2,1725.0,3420.0
1513604454715,12,3,1790.0,3330.0
1513604454715,12,4,600.0,3280.0
1513604454715,12,5,1670.0,3345.0
1513604454715,12,6,755.0,3265.0
1513604454715,12,7,1360.0,3290.0
1513604454715,12,8,970.0,3305.0
1513604454715,12,9,2195.0,3590.0
1513604454715,12,10,2060.0,3160.0
1513604454715,13,0,2450.0,3430.0
1513604454715,13,1,1145.0,3390.0
1513604454715,13,2,1725.0,3420.0
1513604454715,13,3,1790.0,3330.0
1513604454715,13,4,605.0,3280.0
1513604454715,13,5,1670.0,3345.0
1513604454715,13,6,760.0,3270.0
1513604454715,13,7,1365.0,3290.0
1513604454715,13,8,970.0,3300.0
1513604454715,13,9,2190.0,3595.0
1513604454715,13,10,2060.0,3165.0
1513604454715,14,0,2445.0,3435.0
1513604454715,14,1,1150.0,3390.0
1513604454715,14,2,1725.0,3420.0
1513604454715,14,3,1790.0,3330.0
1513604454715,14,4,605.0,3280.0
1513604454715,14,5,1670.0,3345.0
1513604454715,14,6,760.0,3270.0
1513604454715,14,7,1365.0,3290.0
1513604454715,14,8,975.0,3295.0
1513604454715,14,9,2185.0,3595.0
1513604454715,14,10,2060.0,3165.0
1513604454715,15,0,2445.0,3440.0
1513604454715,15,1,1150.0,3390.0
1513604454715,15,2,1725.0,3420.0
1513604454715,15,3,1790.0,3330.0
1513604454715,15,4,610.0,3275.0
1513604454715,15,5,1670.0,3345.0
1513604454715,15,6,760.0,3270.0
1513604454715,15,7,1365.0,3290.0
1513604454715,15,8,975.0,3290.0
1513604454715,15,9,2185.0,3595.0
1513604454715,15,10,2060.0,3165.0
1513604454715,16,0,2440.0,3445.0
1513604454715,16,1,1150.0,3390.0
1513604454715,16,2,1725.0,3420.0
1513604454715,16,3,1790.0,3335.0
1513604454715,16,4,615.0,3275.0
1513604454715,16,5,1670.0,3345.0
1513604454715,16,6,760.0,3270.0
1513604454715,16,7,1370.0,3290.0
1513604454715,16,8,980.0,3290.0
1513604454715,16,9,2180.0,3600.0
1513604454715,16,10,2060.0,3165.0
1513604454715,17,0,2440.0,3450.0
1513604454715,17,1,1155.0,3390.0
1513604454715,17,2,1725.0,3415.0
1513604454715,17,3,1790.0,3335.0
1513604454715,17,4,615.0,3275.0
1513604454715,17,5,1670.0,3345.0
1513604454715,17,6,760.0,3270.0
1513604454715,17,7,1370.0,3290.0
1513604454715,17,8,980.0,3285.0
1513604454715,17,9,2180.0,3600.0
1513604454715,17,10,2060.0,3170.0
1513604454715,18,0,2435.0,3455.0
1513604454715,18,1,1155.0,3385.0
1513604454715,18,2,1725.0,3415.0
1513604454715,18,3,1790.0,3335.0
1513604454715,18,4,620.0,3280.0
1513604454715,18,5,1670.0,3345.0
1513604454715,18,6,760.0,3270.0
1513604454715,18,7,1370.0,3295.0
1513604454715,18,8,985.0,3280.0
1513604454715,18,9,2175.0,3600.0
1513604454715,18,10,2060.0,3170.0
1513604454715,19,0,2430.0,3460.0
1513604454715,19,1,1160.0,3385.0
1513604454715,19,2,1725.0,3415.0
1513604454715,19,3,1790.0,3335.0
1513604454715,19,4,620.0,3280.0
1513604454715,19,5,1670.0,3345.0
1513604454715,19,6,765.0,3275.0
1513604454715,19,7,1370.0,3295.0
1513604454715,19,8,985.0,3275.0
1513604454715,19,9,2175.0,3600.0
1513604454715,19,10,2060.0,3170.0
1513604454715,20,0,2430.0,3460.0
1513604454715,20,1,1160.0,3385.0
1513604454715,20,2,1725.0,3415.0
1513604454715,20,3,1790.0,3335.0
1513604454715,20,4,620.0,3280.0
1513604454715,20,5,1670.0,3350.0
1513604454715,20,6,765.0,3275.0
1513604454715,20,7,1375.0,3295.0
1513604454715,20,8,985.0,3275.0
1513604454715,20,9,2170.0,3605.0
1513604454715,20,10,2060.0,3170.0
1513604454715,21,0,2425.0,3465.0
1513604454715,21,1,1160.0,3385.0
1513604454715,21,2,1725.0,3410.0
1513604454715,21,3,1790.0,3340.0
1513604454715,21,4,625.0,3280.0
1513604454715,21,5,1670.0,3350.0
1513604454715,21,6,765.0,3275.0
1513604454715,21,7,1375.0,3295.0
1513604454715,21,8,990.0,3270.0
1513604454715,21,9,2170.0,3605.0
1513604454715,21,10,2060.0,3170.0
1513604454715,22,0,2425.0,3470.0
1513604454715,22,1,1165.0,3385.0
1513604454715,22,2,1725.0,3410.0
1513604454715,22,3,1790.0,3340.0
1513604454715,22,4,625.0,3275.0
1513604454715,22,5,1670.0,3350.0
1513604454715,22,6,765.0,3275.0
1513604454715,22,7,1375.0,3295.0
1513604454715,22,8,990.0,3265.0
1513604454715,22,9,2165.0,3605.0
1513604454715,22,10,2060.0,3175.0
1513604454715,23,0,2420.0,3475.0
1513604454715,23,1,1165.0,3385.0
1513604454715,23,2,1725.0,3410.0
1513604454715,23,3,1790.0,3340.0
1513604454715,23,4,630.0,3275.0
1513604454715,23,5,1670.0,3350.0
1513604454715,23,6,765.0,3275.0
1513604454715,23,7,1375.0,3295.0
1513604454715,23,8,995.0,3265.0
1513604454715,23,9,2165.0,3605.0
1513604454715,23,10,2060.0,3175.0
1513604454715,24,0,2420.0,3480.0
1513604454715,24,1,1170.0,3385.0
1513604454715,24,2,1725.0,3410.0
1513604454715,24,3,1790.0,3340.0
1513604454715,24,4,630.0,3275.0
1513604454715,24,5,1670.0,3350.0
1513604454715,24,6,765.0,3275.0
1513604454715,24,7,1375.0,3295.0
1513604454715,24,8,995.0,3260.0
1513604454715,24,9,2160.0,3605.0
1513604454715,24,10,2060.0,3175.0
1513604454715,25,0,2415.0,3480.0
1513604454715,25,1,1170.0,3385.0
1513604454715,25,2,1725.0,3410.0
1513604454715,25,3,1790.0,3340.0
1513604454715,25,4,635.0,3275.0
1513604454715,25,5,1670.0,3350.0
1513604454715,25,6,765.0,3275.0
1513604454715,25,7,1375.0,3300.0
1513604454715,25,8,995.0,3260.0
1513604454715,25,9,2160.0,3610.0
1513604454715,25,10,2060.0,3175.0
1513604454715,26,0,2415.0,3485.0
1513604454715,26,1,1170.0,3385.0
1513604454715,26,2,1725.0,3410.0
1513604454715,26,3,1785.0,3340.0
1513604454715,26,4,640.0,3280.0
1513604454715,26,5,1670.0,3350.0
1513604454715,26,6,765.0,3280.0
1513604454715,26,7,1375.0,3300.0
1513604454715,26,8,1000.0,3255.0
1513604454715,26,9,2160.0,3610.0
1513604454715,26,10,2060.0,3175.0
1513604454715,27,0,2410.0,3490.0
1513604454715,27,1,1175.0,3385.0
1513604454715,27,2,1725.0,3405.0
1513604454715,27,3,1785.0,3340.0
1513604454715,27,4,640.0,3280.0
1513604454715,27,5,1670.0,3355.0
1513604454715,27,6,765.0,3280.0
1513604454715,27,7,1375.0,3300.0
1513604454715,27,8,1000.0,3250.0
1513604454715,27,9,2160.0,3610.0
1513604454715,27,10,2060.0,3175.0
1513604454715,28,0,2410.0,3495.0
1513604454715,28,1,1175.0,3385.0
1513604454715,28,2,1725.0,3405.0
1513604454715,28,3,1785.0,3345.0
1513604454715,28,4,645.0,3280.0
1513604454715,28,5,1670.0,3355.0
1513604454715,28,6,765.0,3280.0
1513604454715,28,7,1375.0,3300.0
1513604454715,28,8,1005.0,3250.0
1513604454715,28,9,2160.0,3610.0
1513604454715,28,10,2060.0,3175.0
1513604454715,29,0,2410.0,3495.0
1513604454715,29,1,1175.0,3385.0
1513604454715,29,2,1725.0,3405.0
1513604454715,29,3,1785.0,3340.0
1513604454715,29,4,645.0,3280.0
1513604454715,29,5,1670.0,3355.0
1513604454715,29,6,770.0,3285.0
1513604454715,29,7,1380.0,3300.0
1513604454715,29,8,1005.0,3245.0
1513604454715,29,9,2160.0,3610.0
1513604454715,29,10,2060.0,3175.0
1513604454715,30,0,2405.0,3500.0
1513604454715,30,1,1180.0,3385.0
1513604454715,30,2,1725.0,3405.0
1513604454715,30,3,1785.0,3340.0
1513604454715,30,4,650.0,3280.0
1513604454715,30,5,1665.0,3355.0
1513604454715,30,6,770.0,3285.0
1513604454715,30,7,1380.0,3300.0
1513604454715,30,8,1010.0,3245.0
1513604454715,30,9,2060.0,3170.0
1513604454715,31,0,2405.0,3500.0
1513604454715,31,1,1180.0,3385.0
1513604454715,31,2,1725.0,3400.0
1513604454715,31,3,1785.0,3345.0
1513604454715,31,4,655.0,3280.0
1513604454715,31,5,1665.0,3355.0
1513604454715,31,6,770.0,3285.0
1513604454715,31,7,1380.0,3300.0
1513604454715,31,8,1010.0,3240.0
1513604454715,31,9,2060.0,3170.0
1513604454715,32,0,2405.0,3505.0
1513604454715,32,1,1180.0,3385.0
1513604454715,32,2,1725.0,3400.0
1513604454715,32,3,1785.0,3345.0
1513604454715,32,4,655.0,3285.0
1513604454715,32,5,1665.0,3355.0
1513604454715,32,6,775.0,3285.0
1513604454715,32,7,1380.0,3300.0
1513604454715,32,8,1015.0,3235.0
1513604454715,32,9,2060.0,3170.0
1513604454715,33,0,2405.0,3505.0
1513604454715,33,1,1185.0,3385.0
1513604454715,33,2,1725.0,3400.0
1513604454715,33,3,1785.0,3345.0
1513604454715,33,4,660.0,3285.0
1513604454715,33,5,1665.0,3355.0
1513604454715,33,6,775.0,3290.0
1513604454715,33,7,1385.0,3300.0
1513604454715,33,8,1020.0,3235.0
1513604454715,33,9,2060.0,3170.0
1513604454715,34,0,2400.0,3505.0
1513604454715,34,1,1185.0,3385.0
1513604454715,34,2,1725.0,3400.0
1513604454715,34,3,1785.0,3345.0
1513604454715,34,4,660.0,3285.0
1513604454715,34,5,1660.0,3360.0
1513604454715,34,6,775.0,3290.0
1513604454715,34,7,1385.0,3300.0
1513604454715,34,8,1020.0,3230.0
1513604454715,34,9,2060.0,3170.0
1513604454715,35,0,2400.0,3510.0
1513604454715,35,1,1185.0,3385.0
1513604454715,35,2,1725.0,3395.0
1513604454715,35,3,1785.0,3345.0
1513604454715,35,4,660.0,3285.0
1513604454715,35,5,1660.0,3360.0
1513604454715,35,6,775.0,3290.0
1513604454715,35,7,1385.0,3300.0
1513604454715,35,8,1025.0,3225.0
1513604454715,35,9,2060.0,3170.0
1513604454715,36,0,2400.0,3510.0
1513604454715,36,1,1185.0,3385.0
1513604454715,36,2,1725.0,3395.0
1513604454715,36,3,1785.0,3340.0
1513604454715,36,4,660.0,3280.0
1513604454715,36,5,1660.0,3360.0
1513604454715,36,6,780.0,3290.0
1513604454715,36,7,1385.0,3300.0
1513604454715,36,8,1030.0,3225.0
1513604454715,36,9,2055.0,3170.0
1513604454715,37,0,2395.0,3510.0
1513604454715,37,1,1190.0,3380.0
1513604454715,37,2,1725.0,3395.0
1513604454715,37,3,1790.0,3340.0
1513604454715,37,4,665.0,3280.0
1513604454715,37,5,1655.0,3360.0
1513604454715,37,6,780.0,3290.0
1513604454715,37,7,1385.0,3305.0
1513604454715,37,8,1035.0,3220.0
1513604454715,37,9,2055.0,3170.0
1513604454715,38,0,2395.0,3515.0
1513604454715,38,1,1190.0,3380.0
1513604454715,38,2,1725.0,3395.0
1513604454715,38,3,1790.0,3340.0
1513604454715,38,4,665.0,3280.0
1513604454715,38,5,1655.0,3365.0
1513604454715,38,6,780.0,3290.0
1513604454715,38,7,1385.0,3305.0
1513604454715,38,8,1040.0,3220.0
1513604454715,38,9,2055.0,3170.0
1513604454715,39,0,2395.0,3515.0
1513604454715,39,1,1190.0,3380.0
1513604454715,39,2,1725.0,3395.0
1513604454715,39,3,1790.0,3340.0
1513604454715,39,4,665.0,3280.0
1513604454715,39,5,1650.0,3365.0
1513604454715,39,6,780.0,3290.0
1513604454715,39,7,1385.0,3305.0
1513604454715,39,8,1040.0,3215.0
1513604454715,39,9,2055.0,3170.0
1513604454715,40,0,2395.0,3515.0
1513604454715,40,1,1195.0,3380.0
1513604454715,40,2,1725.0,3390.0
1513604454715,40,3,1790.0,3340.0
1513604454715,40,4,665.0,3275.0
1513604454715,40,5,1650.0,3365.0
1513604454715,40,6,780.0,3290.0
1513604454715,40,7,1385.0,3305.0
1513604454715,40,8,1045.0,3210.0
1513604454715,40,9,2055.0,3170.0
1513604454715,41,0,2395.0,3520.0
1513604454715,41,1,1195.0,3380.0
1513604454715,41,2,1725.0,3390.0
1513604454715,41,3,1795.0,3335.0
1513604454715,41,4,665.0,3275.0
1513604454715,41,5,1650.0,3365.0
1513604454715,41,6,780.0,3290.0
1513604454715,41,7,1385.0,3305.0
1513604454715,41,8,1045.0,3210.0
1513604454715,41,9,2055.0,3165.0
1513604454715,42,0,2395.0,3520.0
1513604454715,42,1,1195.0,3380.0
1513604454715,42,2,1725.0,3390.0
1513604454715,42,3,1795.0,3335.0
1513604454715,42,4,665.0,3275.0
1513604454715,42,5,1645.0,3370.0
1513604454715,42,6,780.0,3290.0
1513604454715,42,7,1385.0,3305.0
1513604454715,42,8,1050.0,3205.0
1513604454715,42,9,2055.0,3165.0
1513604454715,43,0,2395.0,3520.0
1513604454715,43,1,1200.0,3380.0
1513604454715,43,2,1730.0,3390.0
1513604454715,43,3,1795.0,3335.0
1513604454715,43,4,665.0,3275.0
1513604454715,43,5,1645.0,3370.0
1513604454715,43,6,780.0,3290.0
1513604454715,43,7,1390.0,3305.0
1513604454715,43,8,1055.0,3200.0
1513604454715,43,9,2055.0,3165.0
1513604454715,44,0,2390.0,3520.0
1513604454715,44,1,1200.0,3380.0
1513604454715,44,2,1730.0,3390.0
1513604454715,44,3,1800.0,3335.0
1513604454715,44,4,665.0,3270.0
1513604454715,44,5,1640.0,3370.0
1513604454715,44,6,780.0,3290.0
1513604454715,44,7,1390.0,3305.0
1513604454715,44,8,1055.0,3200.0
1513604454715,44,9,2050.0,3165.0
1513604454715,45,0,2390.0,3525.0
1513604454715,45,1,1205.0,3380.0
1513604454715,45,2,1730.0,3390.0
1513604454715,45,3,1800.0,3330.0
1513604454715,45,4,665.0,3270.0
1513604454715,45,5,1640.0,3370.0
1513604454715,45,6,780.0,3290.0
1513604454715,45,7,1390.0,3305.0
1513604454715,45,8,1060.0,3195.0
1513604454715,45,9,2055.0,3165.0
1513604454715,46,0,2390.0,3525.0
1513604454715,46,1,1205.0,3375.0
1513604454715,46,2,1730.0,3390.0
1513604454715,46,3,1805.0,3330.0
1513604454715,46,4,665.0,3270.0
1513604454715,46,5,1640.0,3375.0
1513604454715,46,6,780.0,3290.0
1513604454715,46,7,1385.0,3305.0
1513604454715,46,8,1060.0,3195.0
1513604454715,46,9,2055.0,3165.0
1513604454715,47,0,2385.0,3525.0
1513604454715,47,1,1210.0,3375.0
1513604454715,47,2,1735.0,3385.0
1513604454715,47,3,1805.0,3330.0
1513604454715,47,4,665.0,3270.0
1513604454715,47,5,1635.0,3375.0
1513604454715,47,6,780.0,3290.0
1513604454715,47,7,1385.0,3305.0
1513604454715,47,8,1065.0,3190.0
1513604454715,47,9,2055.0,3160.0
1513604454715,48,0,2385.0,3530.0
1513604454715,48,1,1215.0,3375.0
1513604454715,48,2,1735.0,3385.0
1513604454715,48,3,1805.0,3330.0
1513604454715,48,4,665.0,3270.0
1513604454715,48,5,1635.0,3375.0
1513604454715,48,6,780.0,3290.0
1513604454715,48,7,1385.0,3305.0
1513604454715,48,8,1065.0,3190.0
1513604454715,48,9,2055.0,3160.0
1513604454715,49,0,2385.0,3530.0
1513604454715,49,1,1215.0,3375.0
1513604454715,49,2,1735.0,3385.0
1513604454715,49,3,1805.0,3325.0
1513604454715,49,4,665.0,3270.0
1513604454715,49,5,1635.0,3375.0
1513604454715,49,6,780.0,3290.0
1513604454715,49,7,1385.0,3305.0
1513604454715,49,8,1070.0,3185.0
1513604454715,49,9,2055.0,3155.0
